Cereal Corn Bisq.,575,CSFP,0,,1/1/01,,,,,,active
Grape Juice,554,CSFP,44,,1/1/01,,,,,,active
product,456,CSFP,0,,1/1/01,,,,,,active
CEREAL  CORN FLAKES,572,TEFAP,20,,1/1/01,,,,,,active
GRAPE JUICE,632,TEFAP,44,,1/1/01,,,,,,active
HEX CEREAL,678,TEFAP,19,,1/1/01,,,,,,active
product,491,TEFAP,0,,1/1/01,,,,,,active
RICE CEREAL,613,TEFAP,30,,1/1/01,,,,,,active
SAUSAGE PATTIES,702,TEFAP,40,,1/1/01,,,,,,active
TFAP ENSURE,725,TEFAP,1,,1/1/01,,,,,,active
TFAP FRESH EGGS,720,TEFAP,50,,1/1/01,,,,,,active
TFAP MIX VEGS,750,TEFAP,27,,1/1/01,,,,,,active
TFAP MIX VEGS.,749,TEFAP,27,,1/1/01,,,,,,active
Bottled Walter,593,,0,,1/1/01,,,,,,active
Bread,691,,0,,1/1/01,,,,,,active
Egg Beaters,602,,0,,1/1/01,,,,,,active
Frozen Corn,650,,30,,1/1/01,,,,,,active
Frozen French Fries,646,,0,,1/1/01,,,,,,active
Frozen misc chix,723,,0,,1/1/01,,,,,,active
Frozen Peas,651,,30,,1/1/01,,,,,,active
Frozen Sandwich,652,,20.25,,1/1/01,,,,,,active
INK Egg Beaters,606,,13,,1/1/01,,,,,,active
INK Salsa Squeeze,607,,17,,1/1/01,,,,,,active
INK3366 Orange Juice,645,,15,,2/15/06,,,,,,active
INK4050 Fresh Potatoes,592,,0,,1/1/01,,,,,,active
ink4721 Sausage Links,604,,6,,1/1/01,,,,,,active
INK5225 Cooked Rice,573,,7,,1/1/01,,,,,,active
INK5246 Smuckers Simp. Fruit,574,,12,,1/1/01,,,,,,active
INK5287 Pasta + Malfalda,591,,11,,1/1/01,,,,,,active
INK5293 Oyster Crackers,590,,11,,1/1/01,,,,,,active
INK5301 Scooters Cereal,621,,12,,1/1/01,,,,,,active
INK5323 Cinnabon cookies,603,,7,,1/1/01,,,,,,active
INK5329 Roasted Garlic Rice,609,,6,,1/1/01,,,,,,active
INK5331 Scalloped Pot.,608,,8,,1/1/01,,,,,,active
INK5332 Potatoes w/ Gravy,610,,6,,1/1/01,,,,,,active
INK5368 Pine Nuts,611,,2,,1/1/01,,,,,,active
INK5370 Black Walnuts,612,,2,,1/1/01,,,,,,active
INK5416 Dizzy Dinos,622,,13,,1/1/01,,,,,,active
INK5421 Pampers,623,,13,,1/1/01,,,,,,active
INK5424 Luvs,624,,12,,1/1/01,,,,,,active
INK5439 Blackening Seasoning,625,,3,,1/1/01,,,,,,active
INK5442 Chili Season,626,,5,,1/1/01,,,,,,active
INK5443 Grill Sauce,629,,19,,1/1/01,,,,,,active
INK5444 Garlic Salt,627,,13,,1/1/01,,,,,,active
INK5445 Honey Mustard,630,,7,,1/1/01,,,,,,active
INK5447 Herb Spice,628,,9,,1/1/01,,,,,,active
INK5498 Cookies & Crackers Pak,643,,11,,2/15/06,,,,,,active
INK5500 Chedder Cheese Nips,642,,11,,2/15/06,,,,,,active
INK5502 Chips Ahoy Soft Cookies,639,,13,,2/15/06,,,,,,active
INK5534 Cheese Cracker Sand/,640,,7,,2/15/06,,,,,,active
INK5535 Keebler Graham Crackers,644,,7,,2/15/06,,,,,,active
INK5536 Keebler Sugar Cookies,641,,12,,2/15/06,,,,,,active
INK5539 NutriGrain Bars,638,,5,,2/15/06,,,,,,active
INK5545 Chili Soup Mix,635,,2,,2/15/06,,,,,,active
INK5546 Potato Soup Mix,636,,5,,2/15/06,,,,,,active
INK5547 Cheddar Broc. Soup,637,,4,,2/15/06,,,,,,active
INK5610 Hominy,634,,27,,2/15/06,,,,,,active
INK5724 Marmalade,655,,14,,1/1/01,,,,,,active
INK5726 Pasta M.B. Soup,653,,10,,1/1/01,,,,,,active
INK5730 Ritz Bits PB+Jelly,657,,10,,1/1/01,,,,,,active
INK5773 Super M + C,654,,11,,1/1/01,,,,,,active
INK5783 Grape Jelly,656,,25,,1/1/01,,,,,,active
INKBeef Links,605,,5,,1/1/01,,,,,,active
Lentils,679,,100,,1/1/01,,,,,,active
Macaroni,648,,24,,1/1/01,,,,,,active
Munch Variety Pak,716,,5,,1/1/01,,,,,,active
Pet Food,715,,0,,1/1/01,,,,,,active
Pink G.F. Juice,594,,37,,1/1/01,,,,,,active
Potatoes,698,,0,,1/1/01,,,,,,active
SALVAGE,697,,30,,1/1/01,,,,,,active
Special K Bars,681,,2,,1/1/01,,,,,,active
Split Peas,680,,25,,1/1/01,,,,,,active
Tyson,726,,0,,1/1/01,,,,,,active
APPLE JUICE,282,CSFP,0,,1/1/01,,,,,,discontinued
APPLESAUCE,366,CSFP,0,,1/1/01,,,,,,discontinued
APRICOTS,286,CSFP,0,,1/1/01,,,,,,discontinued
BEANS  LIMA,449,CSFP,24,,4/1/04,,,,,,discontinued
CAN BEEF,273,CSFP,0,,1/1/01,,,,,,discontinued
CAN CHICKEN,289,CSFP,0,,1/1/01,,,,,,discontinued
CAN PORK,355,CSFP,0,,1/1/01,,,,,,discontinued
CARROTS,290,CSFP,0,,1/1/01,,,,,,discontinued
CEREAL CORN BISCUIT,364,CSFP,0,,1/1/01,,,,,,discontinued
CEREAL OAT,265,CSFP,0,,1/1/01,,,,,,discontinued
CORN FLAKE,291,CSFP,0,,1/1/01,,,,,,discontinued
CORN FORTIFIED,382,CSFP,0,,1/1/01,,,,,,discontinued
CRAN. JUICE CON.,298,CSFP,0,,1/1/01,,,,,,discontinued
CRANBERRY SAUCE,271,CSFP,0,,1/1/01,,,,,,discontinued
CREAM CORN,268,CSFP,0,,1/1/01,,,,,,discontinued
CRISPIX,418,CSFP,0,,1/1/01,,,,,,discontinued
DRY FORMULA,266,CSFP,0,,1/1/01,,,,,,discontinued
EGG MIX,284,CSFP,0,,1/1/01,,,,,,discontinued
FRUIT COCKTAIL,292,CSFP,0,,1/1/01,,,,,,discontinued
GRAPE JUICE,277,CSFP,0,,1/1/01,,,,,,discontinued
GREEN BEANS,275,CSFP,0,,1/1/01,,,,,,discontinued
KERNAL CORN,267,CSFP,0,,1/1/01,,,,,,discontinued
PEACHES,333,CSFP,0,,1/1/01,,,,,,discontinued
PEANUT BUTTER,263,CSFP,13.5,,1/1/01,,,,,,discontinued
PEARS,278,CSFP,0,,1/1/01,,,,,,discontinued
PINEAPPLE,280,CSFP,0,,1/1/01,,,,,,discontinued
PINEAPPLE JUICE,270,CSFP,0,,1/1/01,,,,,,discontinued
PINTO BEANS,279,CSFP,0,,1/1/01,,,,,,discontinued
PLUMS,457,CSFP,0,,1/1/01,,,,,,discontinued
PUDDING,443,CSFP,0,,1/1/01,,,,,,discontinued
PUMPKIN,381,CSFP,0,,1/1/01,,,,,,discontinued
RAISINS,272,CSFP,0,,1/1/01,,,,,,discontinued
RICE,274,CSFP,0,,1/1/01,,,,,,discontinued
ROLLED OATS,287,CSFP,0,,1/1/01,,,,,,discontinued
SLICED POTATOES,288,CSFP,0,,1/1/01,,,,,,discontinued
SPAGHETTI,264,CSFP,24,,1/1/01,,,,,,discontinued
STEW,285,CSFP,0,,1/1/01,,,,,,discontinued
TOMATO JUICE,293,CSFP,0,,1/1/01,,,,,,discontinued
TOMATO SAUCE,269,CSFP,0,,1/1/01,,,,,,discontinued
TOMATOES,283,CSFP,0,,1/1/01,,,,,,discontinued
TRAIL MIX,276,CSFP,0,,1/1/01,,,,,,discontinued
VEG. BEANS,281,CSFP,0,,1/1/01,,,,,,discontinued
WHOLE CORN,365,CSFP,0,,1/1/01,,,,,,discontinued
BISQ. MIX,452,TEFAP,0,,1/1/01,,,,,,discontinued
DATES,349,TEFAP,24,,1/1/01,,,,,,discontinued
DICED CHICKEN,327,TEFAP,42,,1/1/01,,,,,,discontinued
FRESH ORANGES,152,TEFAP,39.5,,6/14/01,,,,,,discontinued
FRESH PEARS,133,TEFAP,48.5,,6/14/01,,,,,,discontinued
FROZ.RD.ROAST,326,TEFAP,42,,1/1/01,,,,,,discontinued
OATMEAL,368,TEFAP,37,,1/1/01,,,,,,discontinued
Baby Food,319,,0,,4/26/02,,,,,,discontinued
Beef Stew,376,,0,,1/1/01,,,,,,discontinued
Chips,323,,0,,4/26/02,,,,,,discontinued
Cookies,321,,0,,4/26/02,,,,,,discontinued
Cupcake Mix,378,,0,,1/1/01,,,,,,discontinued
Instant Milk,375,,0,,1/1/01,,,,,,discontinued
Italian Green Beans,324,,0,,4/25/02,,,,,,discontinued
Misc. Crackers,422,,0,,1/1/01,,,,,,discontinued
Nuts,353,,0,,1/1/01,,,,,,discontinued
#10 APRICOTS,132,TEFAP,46,,6/14/01,644,,,,,discontinued
#10 Stew,317,,60,,5/25/02,180,,,,,discontinued
2% MILK,586,TEFAP,27.57,,9/21/05,9623,,,,,active
AFF  Potatoes,205,,27,,10/10/01,320,,,,,discontinued
AFF  sm. Corn,169,,12.5,,6/14/01,771,,,,,discontinued
AFF  sm. Peas,9,,12.75,,6/14/01,602,,,,,discontinued
