"Community Food Bank of Dayton","EFAP","09/20/2007","Customer","4::278","0","278",,,,,"92237007"
"Community Food Bank of Dayton","EFAP","07/13/2000","Customer","1:7:187,F.D. Peas:8:245,F.D. Chili/Beans:4:389","0.21","821",,,,,"981243222"
"34","EFAP","07/14/2000","BMAC","F.D. Corn:5:220,4:4:250,F.D. Peas:2:155,Cereal Special K:2:40,Meat â€“ Canned:6:350","0.2","1015",,,,,"629505123"
"BMAC Scrapped","Other","07/30/2000","Customer","1::123,F.D. Corn::220,F.D. Beans:2:441,Cereal Special K::224","0","1008",,,,,"203795979"
"Juvenile Center","Other","08/16/2000","Customer","AFF  sm. Peas:21:42,Cereal Looney Tunes:2:26,Cheese Nips:3:36","0.18","104",,,,,"130464554"
"Campfire","Other","09/01/2000","Customer","AFF  sm. Peas:1:37,Salvage Misc.:7:4,Cereal Looney Tunes:1:13,Juice; Cherry Sensation:4:24,Cheese Nips:23:12,Snack ums:4:2,Graham Crackers:1:13","0.18","105",,,,,"40934863"
"Asotin Co. Food Bank","TEFAP","09/01/2000","BMAC","CORN CEREAL:14:270,INSTANT MILK:28:784,FROZ. LAMB:16:640,PASTA:14:182,TOM.SAUCE:7:189,APP.SAUCE:7:640","0","2705",,,,,"813280680"
"24","TEFAP","09/01/2000","BMAC","TOM.SAUCE:7:189,APP.SAUCE:7:189,CORN CEREAL:14:270,INSTANT MILK:28:784,FROZ. LAMB:16:640,PASTA:14:182","0","2254",,,,,"943598846"
"Asotin Co. Food Bank","EFAP FB","09/01/2000","BMAC","Oatmeal #50:2:100","0.27","100",,,,,"278152221"
"Asotin Co. Food Bank","EFAP","09/01/2000","BMAC","Salvage Grain:7:280,Salvage Fruit & Veg:6:240,Salvage Protein:12:480,Salvage Misc.:12:480,Salvage Laundry:1:38,Juice; Cherry Sensation:8:96,Graham Crackers:6:78,Salvage Cleaning:1:30,Cereal Soccer:1:13","0","1735",,,,,"559964594"
"24","EFAP","09/01/2000","BMAC","Salvage Grain:7:280,Salvage Fruit & Veg:5:200,Salvage Protein:12:480,Salvage Misc.:12:480,Salvage Laundry:1:38,Juice; Cherry Sensation:8:96,Graham Crackers:6:78,Salvage Cleaning:1:30","0","1682",,,,,"965366340"
"Salvation Army","EFAP","10/11/2000","BMAC","4:2:120,F.D. Peas:1:60,F.D. Dry Goods:4:160,Fresh Vegetables:2:120,F.D. Fruit.:3:180,Frozen Meat:8:320,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:2:42,F.D. Soup:2:120,Juice; Cherry Sensation:8:96,Cheese Nips:3:18,AFF Asp.:2:42,Graham Crackers:6:78,Mac & Cheese:2:42,Snack Sticks:10:50,Juice; Sunny Delight:3:117,Stroganoff:3:27,Formula Enfamil:8:8,Miracle Whip:1:39,Cheese:3:60","0","1749",,,,,"146937951"
"St. Vincent of Walla Walla","EFAP","10/11/2000","BMAC","F.D. Corn:2:120,F.D. Peas:1:60,Cereal Special K:2:30,F.D. Dry Goods:4:160,F.D. Fruit.:2:120,F.D. Glass:1:40,Frozen Meat:8:320,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:2:42,Juice; Cherry Sensation:8:96,Cheese Nips:3:18,AFF Asp.:2:42,Graham Crackers:6:78,Mac & Cheese:2:42,Snack Sticks:10:50,Juice; Sunny Delight:3:117,Stroganoff:3:27,Formula Enfamil:8:8,Miracle Whip:1:39,Cheese:3:60","0","1519",,,,,"838590759"
